id,num,string,=+,*,(,),and,or,=,!=,<,<=,>,>=,create,table,;,int,",",varchar,char,drop,insert,into,values,update,set,where,select,from,$,S',S,ID,NUM,STRING,NUM_OPERATOR,NUM_OPERATOR_E,NUM_OPERATOR_T,NUM_OPERATOR_F,LOGIC_OPERATOR,LOGIC_OPERATOR_E,LOGIC_OPERATOR_T,LOGIC_OPERATOR_F,CREATE,FIELDS,DROP,INSERT,VALUES,UPDATE,SETS,WHERE,SELECTOR
,,,,,,,,,,,,,,,,,s77,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,r29,,,,,,,,,,,,,s78,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,s56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,79,,,,,,,,,,,,,,,,,,
,s56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,80,,,,,,,,,,,,,,,,,,
,,,,,,s81,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,r39,,,,,,,,,,,,,s82,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,r41,,,,,,,,,,,,,s83,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,r3,r3,,r3,r3,r3,,,,,,,,,r3,,r3,,,,,,,,,r3,,,r3,,,,,,,,,,,,,,,,,,,,,,
,,,,,,r4,r4,r4,,,,,,,,,r4,,r4,,,,,,,,,r4,,,r4,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,s7,,,,,,,s8,s9,,,s10,,,s6,,r1,,84,,,,,,,,,,,,2,,3,4,,5,,,
,,,,,,,,,,,,,,,,,r45,,s85,,,,,,,,,r45,,,r45,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,r47,,s86,,,,,,,,,r47,,,r47,,,,,,,,,,,,,,,,,,,,,,
,,,s87,,,r5,r5,r5,,,,,,,,,r5,,r5,,,,,,,,,r5,,,r5,,,,,,,,,,,,,,,,,,,,,,
,,,r7,s88,,r7,r7,r7,,,,,,,,,r7,,r7,,,,,,,,,r7,,,r7,,,,,,,,,,,,,,,,,,,,,,
